rebalance_date,ticker,weight,fund
2021-11-01,AMD,0.02,equity_risk_parity
2021-12-01,AMD,0.02,equity_risk_parity
2022-01-03,AMD,0.02,equity_risk_parity
2022-02-01,AMD,0.02,equity_risk_parity
2022-03-01,AMD,0.02,equity_risk_parity
2022-04-01,AMD,0.02,equity_risk_parity
2022-05-02,AMD,0.02,equity_risk_parity
2022-06-01,AMD,0.02,equity_risk_parity
2022-07-01,AMD,0.02,equity_risk_parity
2022-08-01,AMD,0.02,equity_risk_parity
2022-09-01,AMD,0.02,equity_risk_parity
2022-10-03,AMD,0.02,equity_risk_parity
2022-11-01,AMD,0.02,equity_risk_parity
2022-12-01,AMD,0.02,equity_risk_parity
2023-01-03,AMD,0.02,equity_risk_parity
2023-02-01,AMD,0.02,equity_risk_parity
2023-03-01,AMD,0.02,equity_risk_parity
2023-04-03,AMD,0.02,equity_risk_parity
2023-05-01,AMD,0.02,equity_risk_parity
2023-06-01,AMD,0.02,equity_risk_parity
2023-07-03,AMD,0.02,equity_risk_parity
2023-08-01,AMD,0.02,equity_risk_parity
2023-09-01,AMD,0.02,equity_risk_parity
2023-10-02,AMD,0.02,equity_risk_parity
2023-11-01,AMD,0.02,equity_risk_parity
2023-12-01,AMD,0.02,equity_risk_parity
2021-01-04,AMGN,0.02,equity_risk_parity
2021-02-01,AMGN,0.02,equity_risk_parity
2021-03-01,AMGN,0.02,equity_risk_parity
2021-04-01,AMGN,0.02,equity_risk_parity
2021-05-03,AMGN,0.02,equity_risk_parity
2021-06-01,AMGN,0.02,equity_risk_parity
2021-07-01,AMGN,0.02,equity_risk_parity
2021-08-02,AMGN,0.02,equity_risk_parity
2021-09-01,AMGN,0.02,equity_risk_parity
2021-10-01,AMGN,0.02,equity_risk_parity
2021-11-01,AMGN,0.02,equity_risk_parity
2021-12-01,AMGN,0.02,equity_risk_parity
2022-01-03,AMGN,0.02,equity_risk_parity
2022-02-01,AMGN,0.02,equity_risk_parity
2022-03-01,AMGN,0.02,equity_risk_parity
2022-04-01,AMGN,0.02,equity_risk_parity
2022-05-02,AMGN,0.02,equity_risk_parity
2022-06-01,AMGN,0.02,equity_risk_parity
2022-07-01,AMGN,0.02,equity_risk_parity
2022-08-01,AMGN,0.02,equity_risk_parity
2022-09-01,AMGN,0.02,equity_risk_parity
2022-10-03,AMGN,0.02,equity_risk_parity
2022-11-01,AMGN,0.02,equity_risk_parity
2022-12-01,AMGN,0.02,equity_risk_parity
2023-01-03,AMGN,0.02,equity_risk_parity
2023-02-01,AMGN,0.02,equity_risk_parity
2023-03-01,AMGN,0.02,equity_risk_parity
2023-04-03,AMGN,0.02,equity_risk_parity
2023-05-01,AMGN,0.02,equity_risk_parity
2023-06-01,AMGN,0.02,equity_risk_parity
2023-07-03,AMGN,0.02,equity_risk_parity
2023-08-01,AMGN,0.02,equity_risk_parity
